Unnamed: 0,Time,temp,pressure,humidity,dew_point,speed,deg
0,2021-11-01 00:00:00,17.87,998.2,67.31,11.76,1.35,186.96
1,2021-11-01 01:00:00,17.19,998.1,69.31,11.55,1.32,195.76
2,2021-11-01 02:00:00,16.46,997.9,72.0,11.43,1.53,205.65
3,2021-11-01 03:00:00,15.33,997.9,77.44,11.44,1.91,213.5
4,2021-11-01 04:00:00,14.37,998.2,82.0,11.37,2.2,219.81
5,2021-11-01 05:00:00,13.7,998.6,84.75,11.21,2.36,225.13
6,2021-11-01 06:00:00,13.93,999.2,86.62,11.75,2.24,228.96
7,2021-11-01 07:00:00,16.65,999.7,76.25,12.48,2.3,230.92
8,2021-11-01 08:00:00,18.4,1000.1,71.38,13.15,1.76,227.88
9,2021-11-01 09:00:00,21.12,1000.2,68.44,15.1,1.06,216.28
10,2021-11-01 10:00:00,25.33,1000.0,49.06,13.88,0.82,253.46
11,2021-11-01 11:00:00,26.75,999.4,44.44,13.67,1.27,319.74
12,2021-11-01 12:00:00,27.16,998.6,44.19,13.94,1.72,333.79
13,2021-11-01 13:00:00,27.26,998.0,44.81,14.23,1.74,337.82
14,2021-11-01 14:00:00,27.1,997.7,44.44,13.97,1.58,344.17
15,2021-11-01 15:00:00,26.64,997.5,46.69,14.27,1.15,0.0
16,2021-11-01 16:00:00,25.21,997.5,54.62,15.39,0.87,36.97
17,2021-11-01 17:00:00,23.19,997.8,56.12,14.01,1.29,89.65
18,2021-11-01 18:00:00,21.55,998.4,63.0,14.25,1.84,111.67
19,2021-11-01 19:00:00,20.06,998.8,69.81,14.41,2.23,124.86
20,2021-11-01 20:00:00,18.99,999.1,74.0,14.29,2.43,135.52
21,2021-11-01 21:00:00,18.26,999.2,76.25,14.03,2.5,144.67
22,2021-11-01 22:00:00,17.71,999.2,77.25,13.71,2.46,152.54
23,2021-11-01 23:00:00,17.28,999.1,77.69,13.38,2.33,160.84
24,2021-11-02 00:00:00,16.9,999.0,77.88,13.05,2.17,169.42
25,2021-11-02 01:00:00,16.51,998.9,78.38,12.76,2.02,177.79
26,2021-11-02 02:00:00,16.07,998.8,79.31,12.51,1.87,187.45
